"77889","Paid","Paid","Jessica Howard-Tilleman","","Jessica Howard-Tilleman - Invoice - Toilet :Lowes Simple Installs","#26742 - Toilet :Lowes Simple Installs","Toilet :Lowes Simple Installs","","209","209","209","21","188","90","209","0","0","209","Yes","","","","0","","","","0","Jul 24, 2026","","Aug 23, 2026","","","Fri Jul 24 2026 12:14:12 GMT-0700","2026","July 2026","","","","Lowes","0","0","0","0","0","21","0","21","Ashley Reed","Bryan Pickett","Multiple commissions applied (view Commission Report to see specific type breakdown)","Multiple commissions applied (view Commission Report to see specific % breakdown)","73","NaN","Mon Jul 27 2026 05:00:00 GMT-0700","Mon Jul 27 2026 05:00:00 GMT-0700","-","-","4816 E KACHINA TRL, PHOENIX, AZ 85044","PHOENIX","AZ","85044","No","Lowes:Simple Installs","","","","","","","","","","","","17487479","520-208-3523","jbhoward95@gmail.com","null","","","IMS","","","PLUMB - ONLINE ONLY","PLUMB - ONLINE ONLY","Sun Jul 12 2026 08:01:05 GMT-0700","","Jessica Howard-Tilleman","","Jessica","Howard-Tilleman","","412967942","","","Lowes - Simple Installs","","","","","","","Completed","x1
KOHLER Elliston White Elongated Chair height 12-in Rough-In WaterSense 1.28 GPF Soft Close 2-piece Toilet

store: 7100 WEST RAY ROAD,
Chandler, AZ 85226

Customer does have a Bidet they potentially want reinstalled for $92.50.","Bryan Pickett","Lowes","Disconnected water supply line, removed old toilet and old wax ring. Installed new waxring and new toilet. Reconnected water supply line and tested by filling tank and flushing through bowl several times while checking for leaks and moisture. No visible water, customer tested and customer satisfied.

Pickup/Delivery charge 
Toilet Install","Lowes,Pick up from Lowes","Default Workflow"
"77888","Sent","Sent","Colter Park","Harbor Group Management Co., LLC","Unit 209 - Fan Coil Service & Drain Clearing","#27044 - Fan Coil","Fan Coil","","340","340","340","42","298","88","0","340","-10","350","No","","","","0","","","","0","Jul 24, 2026","","Aug 23, 2026","","","Fri Jul 24 2026 12:11:24 GMT-0700","2026","July 2026","","","","","0","0","0","0","0","42","0","42","Joey Reyes","Joey Reyes","","30","102","NaN","","","-","-","909 West Colter Street, Phoenix, Arizona 85013","Phoenix","Arizona","85013","No","AZ Service:MFH","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","15508690","(480) 640-7388","fswanson@harborgroupmanagement.com","","","Logen Uknavage","","","","","","Mon Mar 30 2026 09:43:16 GMT-0700","Harbor","Colter Park","Colter Park","Feljie","Swanson","","85888545","","","MFH - Plumbing","","Josh","","","","","Completed","Unit 209
Fan coil no cool
POC Josh","Jordan Wise","MFH - Plumbing","Arrived 3:35pm - Finished 5:30pm
It’s at unit took temperature at 81 flushed coil of dirty water until clear got temps down to 45. While I was up there, I also noticed drain pan primary and secondary were both backed up and leaking as well cleared drains all is good now.

Chris informed me of three units that needed checked out while I was finishing up at Colter one of the units was 183 which I was in earlier and is all good now. 

Unit 182- took temps upon entry at 73 flushed coil and temps dropped to 52 I informed Josh return grille and ceiling around coil should be replaced due to damage from previous leak.

Unit 163- unit was previously inspected and property was informed a blower motor replacement is needed. (6HBC) went back to check because tenant had called in and blower has still not been replaced spoke with Josh and he would like the bid to be sent over again.","","Default Workflow"
"77887","Invoiced","Invoiced","Tom Leard","","Tom Leard - Estimate","#27001 - Water Heater Install :Lowes Water Heaters","Water Heater Install :Lowes Water Heaters","Tom Leard - Estimate","1683","1683","1683","1009","674","40","0","1683","1025","658","No","","","","0","","","","0","Jul 24, 2026","","Aug 23, 2026","Fri Jul 24 2026 12:04:30 GMT-0700","Mon Jul 20 2026 13:24:14 GMT-0700","Fri Jul 24 2026 12:04:31 GMT-0700","2026","July 2026","Scope of Work Performed**

* Removed two existing supply lines
* Removed one existing shut off valve 
* Disconnected the ventilation and gas line
* Cut the T&P line
* Drained water heater and removed unit from the house

**Installation & Reconnection**

* Installed two new water supply lines
* Installed one new shut off valve 
* Installed 24-inch drain pan
* Re-ran T&P discharge line into the wall outlet
* Connected ventilation and gas line
* Filled water heater

**Testing & Closeout**

* Checked system for proper operation
* Registered the new water heater
* All documentation signed and payment collected","","","Lowes","0","0","0","0","769","240","769","240","Gina Neisius","Gina Neisius","","30","504.9","NaN","","","-","-","36832 N. Romping RD., Carefree, AZ 85377","Carefree","AZ","85377","No","Lowes","","","41422127","","Lowe's","Free","","Residential","Tier 1 - 8%","","","17585380","(480) 488-0192","tomflyer12@hotmail.com","","","Gina Neisius","IME","New Prospect","","ESTIMATE_APPOINTMENT | APPOINTMENT_SET","ESTIMATE_APPOINTMENT | APPOINTMENT_SET","Mon Jul 20 2026 10:29:34 GMT-0700","","Tom Leard","","Tom","Leard","","41422127","in utility closet","","Lowes - Water Heaters","","","","","","","Completed","#962543
12p-4p

Order #300902204264776201

Lowes Store Address: 16285 NORTH SCOTTSDALE RD, Scottsdale, AZ, 85254

Notes and Details (Addon bundles, other details):","Matt Schlosser","Lowes","Scope of Work Performed**

* Removed two existing supply lines
* Removed one existing shut off valve 
* Disconnected the ventilation and gas line
* Cut the T&P line
* Drained water heater and removed unit from the house

**Installation & Reconnection**

* Installed two new water supply lines
* Installed one new shut off valve 
* Installed 24-inch drain pan
* Re-ran T&P discharge line into the wall outlet
* Connected ventilation and gas line
* Filled water heater

**Testing & Closeout**

* Checked system for proper operation
* Registered the new water heater
* All documentation signed and payment collected","Pick up from Lowes,Lowes","Default Workflow"
"77883","Sent","Sent","Colter Park","Harbor Group Management Co., LLC","Unit 183 - Fan Coil Cooling Repair","#26963 - Fan Coil","Fan Coil","","340","340","340","42","298","88","0","340","-10","350","No","","","","0","","","","0","Jul 24, 2026","","Aug 23, 2026","","","Fri Jul 24 2026 11:55:30 GMT-0700","2026","July 2026","","","","","0","0","0","0","0","42","0","42","Joey Reyes","Joey Reyes","","30","102","NaN","","","-","-","909 West Colter Street, Phoenix, Arizona 85013","Phoenix","Arizona","85013","No","AZ Service:MFH","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","15508690","(480) 640-7388","fswanson@harborgroupmanagement.com","","","Logen Uknavage","","","","","","Mon Mar 30 2026 09:43:16 GMT-0700","Harbor","Colter Park","Colter Park","Feljie","Swanson","","85888003","","","MFH - Plumbing","","Josh","","","","","Completed","Unit 183
Fan coil no cool (L/O 7/10)
POC Josh","Jordan Wise","MFH - Plumbing","Arrived 3pm - Finished 3:30pm
Once inside unit took temps at 81 flushed coil of dirty water until clear and got temps down to 63 checked out with office and maintenance before leaving property.","","Default Workflow"
"77882","Sent","Sent","Colter Park","Harbor Group Management Co., LLC","Unit 241 - Fan Coil Duct Repair","#26941 - Fan Coil - Leak","Fan Coil - Leak","","295","295","295","48.8","246.2","83","0","295","55","240","No","","","","0","","","","0","Jul 21, 2026","","Aug 23, 2026","","","Fri Jul 24 2026 11:52:56 GMT-0700","2026","July 2026","","","","","0","0","0","0","20","28.8","20","28.8","Joey Reyes","Adam George","","30","88.5","NaN","","","-","-","909 West Colter Street, Phoenix, Arizona 85013","Phoenix","Arizona","85013","No","AZ Service:MFH","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","15508690","(480) 640-7388","fswanson@harborgroupmanagement.com","","","Logen Uknavage","","","","","","Mon Mar 30 2026 09:43:16 GMT-0700","Harbor","Colter Park","Colter Park","Feljie","Swanson","","85888410","","","MFH - Plumbing","","Travis","","","","","Completed","Unit 241
Per Travis, the coil is not connected to the duct
POC Travis","Adam George","PHX - Plumbing","Looks like a peice of flashing is missing. Spoke to Logan he said we will return monday to fix it","","Default Workflow"
"77881","Invoiced","Invoiced","Colter Park","Harbor Group Management Co., LLC","Unit 31 - Fan Coil Leak Repair","#26976 - Fan Coil","Fan Coil","","270","270","270","33","237","88","0","270","-5","275","No","","","","0","","","","0","Jul 22, 2026","","Aug 21, 2026","","","Fri Jul 24 2026 11:45:34 GMT-0700","2026","July 2026","","","","","0","0","0","0","0","33","0","33","Joey Reyes","Joey Reyes","","30","81","NaN","","","-","-","909 West Colter Street, Phoenix, Arizona 85013","Phoenix","Arizona","85013","No","AZ Service:MFH","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","15508690","(480) 640-7388","fswanson@harborgroupmanagement.com","","","Logen Uknavage","","","","","","Mon Mar 30 2026 09:43:16 GMT-0700","Harbor","Colter Park","Colter Park","Feljie","Swanson","","85887988","","","MFH - HVAC","","Josh","","","","","Completed","Unit 31
Fan coil leak at vent
POC Josh","Jordan Wise","MFH - Plumbing","Arrived 1:30pm - Finished 2:10pm
Once at unit inspected coil and found primary inner drain pan was full and leaking into duct work. Cleared drain and also cleared secondary while I was at it. Drain pan is starting to show signs of rust and may need replaced soon as well. (6HBC RH)","","Default Workflow"
"77879","Paid","Paid","TRACY HAGAMAN","","TRACY HAGAMAN - Invoice - Toilet :Lowes Simple Installs","#27032 - Toilet :Lowes Simple Installs","Toilet :Lowes Simple Installs","","209","209","209","21","188","90","209","0","0","209","Yes","","","","0","","","","0","Jul 24, 2026","","Aug 23, 2026","","","Fri Jul 24 2026 11:39:09 GMT-0700","2026","July 2026","","","","Lowes","0","0","0","0","0","21","0","21","Ashley Reed","","","0","0","NaN","Mon Jul 27 2026 05:00:00 GMT-0700","Mon Jul 27 2026 05:00:00 GMT-0700","-","-","3741 W AMBER NICKOLE CT, PHOENIX, AZ 85086","PHOENIX","AZ","85086","No","Lowes:Simple Installs","","","","","","","","","","","","17579807","623-256-1022","trac6868@cox.net","null","","","IMS","","","PLUMB - ONLINE ONLY","PLUMB - ONLINE ONLY","Sun Jul 19 2026 08:00:36 GMT-0700","","TRACY HAGAMAN","","TRACY","HAGAMAN","","413470777","","","Lowes - Simple Installs","","","","","","","Completed","Simple installs -1- American Standard Mainstream White Round Chair height 12-in Rough-In WaterSense 1.28 GPF Soft Close 2-piece Toilet/ pick up from lowe's 

2501 W. HAPPY VALLEY RD, BDG 40,
Phoenix, AZ 85085
Store: #2557
Phone: (623) 445-9840","Sean Marble","Lowes","Removed existing toilet and replaced with new one tested ran no leaks","Lowes,Pick up from Lowes","Default Workflow"
"77877","Paid","Paid","ron hood","","ron hood - Estimate - Toilet/ Garbage disposal :Lowes Simple Installs","#27008 - Toilet/ Garbage disposal :Lowes Simple Installs","Toilet/ Garbage disposal :Lowes Simple Installs","ron hood - Estimate - Toilet/ Garbage disposal :Lowes Simple Installs","25","25","25","7.5","17.5","70","25","0","25","0","Yes","","","","0","","","","0","Jul 24, 2026","","Aug 23, 2026","Fri Jul 24 2026 11:34:53 GMT-0700","Fri Jul 24 2026 10:19:46 GMT-0700","Fri Jul 24 2026 11:34:54 GMT-0700","2026","July 2026","","","","Add On","0","0","0","0","7.5","0","7.5","0","Brenton Heward","","","0","0","NaN","Fri Jul 24 2026 05:00:00 GMT-0700","Fri Jul 24 2026 05:00:00 GMT-0700","-","-","7630 W Edgestone St, Tucson, AZ 85735","Tucson","AZ","85735","No","Lowes:Simple Installs","","","","","","","","","","","","17529961","303-690-8099","noemailpmoc@lowes.com","null","","","IMS","","","PLUMB - GENERAL (NO SOFTENERS)","PLUMB - GENERAL (NO SOFTENERS)","Fri Jul 17 2026 08:00:26 GMT-0700","","ron hood","","ron","hood","","413354143","","","Lowes - Simple Installs","","","","","","","Completed","Simple installs -2 items- Project Source White Elongated Tall height 12-in Rough-In WaterSense 1.28 GPF Soft Close 2-piece Toilet
Moen Prep Under Sink Food Disposer, Continuous feed 1/2-HP Septic Safe Corded Garbage Disposal
Customer also stated they ordered a double wax ring so make sure you ask them for that 
Order# 201791197261930252

1800 WEST VALENCIA ROAD,
Tucson, AZ 85746
Store: #1791
Phone: (520) 741-2400

Delivery fee: PR32452291","Mathew Hodges","Lowes","Came out to customers house to install garbage disposal and toilet started with toilet inside guest bathroom remove the old toilet and waxing and bolts put in new waxing and bolts and set the toilet turned water back on had to replace the supply line 1st before turning the water on because the supply line was too short have to charge the customer in $25 to replace supply line going to be collecting that before leaving turned water onto the toilet to make sure there’s no leaks. There’s no leaks at this time caulked in the toilet, then went to the kitchen to install garbage disposal, tested everything to make sure there was no leaks. There’s no leaks at this time. Garbage disposal is now functional. Customer is happy with the work.","Lowes,Pick up from Lowes","Default Workflow"
"77876","Paid","Paid","Richard Sinatra","","Richard Sinatra - Estimate - Job for Richard Sinatra","#21251 - Job for Richard Sinatra","Job for Richard Sinatra","Richard Sinatra - Estimate - Job for Richard Sinatra","300","300","300","50","250","83","300","0","0","300","Yes","","","","0","","","","0","Jul 24, 2026","Fri Jul 24 2026 11:34:49 GMT-0700","Aug 23, 2026","Fri Jul 24 2026 11:34:09 GMT-0700","Wed Feb 25 2026 09:19:35 GMT-0700","Fri Jul 24 2026 11:34:09 GMT-0700","2026","July 2026","","","","","0","0","0","0","0","50","0","50","Chuck LaPose","Ian Campbell","","40","12.5","NaN","Fri Jul 24 2026 05:00:00 GMT-0700","Fri Jul 24 2026 05:00:00 GMT-0700","-","-","29598 North Candlewood Drive, San Tan Valley, Arizona 85143","San Tan Valley","Arizona","85143","No","AZ Service:Pools","","","","","","","","","","","","6711282","(541) 260-1049","the.sinatras@hotmail.com","","","","","","","","","Tue Apr 23 2024 06:33:23 GMT-0700","Pools,Pool Cleaning","Richard Sinatra","","Richard","Sinatra","","","","","Pool Repair","","Richard Sinatra","","","","","Completed","Tech Note: Partial drain and refill to lower cya level recommended","Chuck LaPose","Pools","Remote quote to drain, refill and perform start up service.","Resi","Default Workflow"
"77875","Paid","Paid","Greg Gilliam","","Greg Gilliam - Invoice - Toilet :Lowes Simple Installs","#26986 - Toilet :Lowes Simple Installs","Toilet :Lowes Simple Installs","","174","174","174","17","157","90","174","0","0","174","Yes","","","","0","","","","0","Jul 24, 2026","","Aug 23, 2026","","","Fri Jul 24 2026 11:27:28 GMT-0700","2026","July 2026","","","","Lowes","0","0","0","0","0","17","0","17","Ashley Reed","Bryan Pickett","","0","61","NaN","Mon Jul 27 2026 05:00:00 GMT-0700","Mon Jul 27 2026 05:00:00 GMT-0700","-","-","3722 E CONSTACE WAY, PHOENIX, AZ 85042","PHOENIX","AZ","85042","No","Lowes:Simple Installs","","","","","","","","","","","","17529957","602-793-5364","noemailpmoc@lowes.com","null","","","IMS","","","PLUMB - GENERAL (NO SOFTENERS)","PLUMB - GENERAL (NO SOFTENERS)","Fri Jul 17 2026 08:00:09 GMT-0700","","Greg Gilliam","","Greg","Gilliam","","413376840","","","Lowes - Simple Installs","","","","","","","Completed","Simple installs -1- KOHLER Elliston White Elongated Tall height 12-in Rough-In WaterSense 1.28 GPF Soft Close 2-piece Toilet/ pick up from lowe's

7100 WEST RAY ROAD,
Chandler, AZ 85226
Store: #674
Phone: (480) 753-0103

Delivery Fee: PR32445648","Bryan Pickett","Lowes","Disconnected water supply line, removed old toilet and old wax ring. Installed new waxring and new toilet. Reconnected bidet seat and water supply line and tested by filling tank and flushing through bowl several times while checking for leaks and moisture. No visible water, customer tested and customer satisfied.

Pickup/Delivery charge 
Toilet Install
Bidet Reinstall","Lowes,Pick up from Lowes","Default Workflow"
"77873","Invoiced","Invoiced","Marsha Radi","","Marsha Radi - Estimate","#27033 - Water Heater Install :Lowes Water Heaters","Water Heater Install :Lowes Water Heaters","Marsha Radi - Estimate","1785","1785","1785","853","932","52","0","1785","759","1026","No","","","","0","","","","0","Jul 24, 2026","","Aug 23, 2026","Fri Jul 24 2026 11:11:12 GMT-0700","Tue Jul 21 2026 09:28:54 GMT-0700","Fri Jul 24 2026 11:11:12 GMT-0700","2026","July 2026","I picked up water heater from local Lowe’s store. On my arrival was right to the dining room where there was a utility closet containing the water heater to be replaced. Shut off power to the water heater and begin draining down water. I removed old supply lines and threaded on a threaded ball valve. Once water heater was drained down and removed and discarded it and mounted a bracket for the thermal expansion tank. I’m out at the thermal expansion tank and connected to two cold water supply. Set water heater into place on top of new drip pan, connected power, connected auto supply lines, connected temperature and pressure, relief the temperature and pressure valve, filled water heater with water to check the leaks and found no leaks at this time. I restored power to water heater and found the operational before I left.","","","Lowes,Needs Permit","0","0","0","0","553","300","553","300","Gina Neisius","Gina Neisius","","30","535.5","NaN","","","-","-","9355 N 91st St, #105, Scottsdale, AZ 85258","Scottsdale","AZ","85258","No","Lowes","","","41419399","","Lowe's","Free","","Residential","Tier 1 - 8%","","","17580822","(801) 712-1916","maradi56@gmail.com","","","Gina Neisius","IME","New Prospect","","ESTIMATE_APPOINTMENT | APPOINTMENT_SET","ESTIMATE_APPOINTMENT | APPOINTMENT_SET","Sun Jul 19 2026 20:18:32 GMT-0700","","Marsha Radi","","Marsha","Radi","","41419399","laundry closet","","Lowes - Water Heaters","","","","","","","Completed","WH816158
8-12
Her unit # is 105- Go to Village 1 and take the 1st right. Her condo is 3 or 4 units down. 

Order #300902204264776000

Lowes Store Address: 7950 EAST MCDOWELL ROAD, Scottsdale, AZ, 85257

Notes and Details (Addon bundles, other details):","Edward Lopez","Lowes","I picked up water heater from local Lowe’s store. On my arrival was right to the dining room where there was a utility closet containing the water heater to be replaced. Shut off power to the water heater and begin draining down water. I removed old supply lines and threaded on a threaded ball valve. Once water heater was drained down and removed and discarded it and mounted a bracket for the thermal expansion tank. I’m out at the thermal expansion tank and connected to two cold water supply. Set water heater into place on top of new drip pan, connected power, connected auto supply lines, connected temperature and pressure, relief the temperature and pressure valve, filled water heater with water to check the leaks and found no leaks at this time. I restored power to water heater and found the operational before I left.","Lowes,Pick up from Lowes","Default Workflow"
"77872","Sent","Sent","Colter Park","Harbor Group Management Co., LLC","Unit 251 - Fan Coil Blower Motor Replacement","#26867 - Fan Coil","Fan Coil","","925","925","925","509.8","415.2","45","0","925","785","140","No","","","","0","","","","0","Jul 21, 2026","","Aug 20, 2026","","","Fri Jul 24 2026 11:07:42 GMT-0700","2026","July 2026","","","","","0","0","0","0","493","16.8","493","16.8","Joey Reyes","Joey Reyes","","30","277.5","NaN","","","-","-","909 West Colter Street, Phoenix, Arizona 85013","Phoenix","Arizona","85013","No","AZ Service:MFH","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","15508690","(480) 640-7388","fswanson@harborgroupmanagement.com","","","Logen Uknavage","","","","","","Mon Mar 30 2026 09:43:16 GMT-0700","Harbor","Colter Park","Colter Park","Feljie","Swanson","","85887669","","","MFH - HVAC","","Josh","","","","","Completed","Unit 251
Fan coil blower motor replacement- no history on this unit (vacant)
POC Josh","Julian Guidry","MFH - Plumbing","By the time I was able to get to the unit. Supply houses are closed so I will not be able to get a blower motor.  Need to reschedule for first thing tomorrow morning.","","Default Workflow"
"77870","Invoiced","Invoiced","The Heritage","BH Management Services LLC","Parking Lot - Irrigation Leak Diagnostics","#27216 - Active Water Leak :Plumbing","Active Water Leak :Plumbing","","89","89","89","10.68","78.32","88","0","89","0","89","No","","","","0","","","","0","Jul 24, 2026","","Aug 23, 2026","","","Fri Jul 24 2026 10:45:59 GMT-0700","2026","July 2026","","","","","0","0","0","0","0","10.68","0","10.68","Joey Reyes","Joey Reyes","","30","26.7","NaN","","","-","-","1100 East Osborn Road, Phoenix, Arizona 85014","Phoenix","Arizona","85014","No","AZ Service:MFH","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","12879207","(520) 250-3662","theheritage@livebh.com","","Brian.Nielsen@livebh.com","Logen Uknavage","Referral","","","","","Wed Oct 22 2025 10:45:17 GMT-0700","BH Mgmt,MFH,Commercial","The Heritage","The Heritage","Brian","Nielsen","","","","","MFH - Plumbing","","Robb","","","","","Completed","Parking lot
There is a water leak in the parking lot
POC Brian","Jordan Wise","MFH - Plumbing","Arrived 8:30am - Finished 9:05am
Once on site checked in with office and maintenance staff led me to area in asphalt where leak was present. It is an irrigation leak. They said SRP had already come out to shut off the water. It is locked out, and SRP will need to be called to turn it back on for us to locate and repair took pictures of section where it is most likely located and informed them we would need to break up the asphalt and dig down to the leak in order to fix it. They would like a bid sent via email and they said we will need to call SRP about turning the water on and off for us as needed. Sent info and pictures to Logen before leaving property.

Joey - Per Logen, Robb called and said SRP found out a irrigation company kicked in the irrigation for the vault and said to not worry about the proposals.","","Default Workflow"
"77868","Invoiced","Invoiced","Bonnie Brown","","Bonnie Brown - Estimate","#27089 - Water Heater Install :Lowes Water Heaters","Water Heater Install :Lowes Water Heaters","Bonnie Brown - Estimate","1555.5","1555.5","1555.5","928","627.5","40","0","1555.5","936","619.5","No","","","","0","","","","0","Jul 24, 2026","","Aug 23, 2026","Fri Jul 24 2026 10:37:45 GMT-0700","Wed Jul 22 2026 09:52:31 GMT-0700","Fri Jul 24 2026 10:37:45 GMT-0700","2026","July 2026","7/24

Arrived on site to Install a new 50 gallon gas heater. I met with Bonnie who showed me to the unit in the laundry room

There is no tank here so I turned off water and began draining the lines. Replaced both supply lines and ball valve

Set the new stand in place. New pan. New tank. Connected supply lines. Ran new t&p. Put on sediment trap

Filled the heater. Trimmed back the gas vent due to the taller setup we now have. Turned on gas and checked for leaks. 

No issues with this install 60 psi","","","Lowes","0","0","0","0","688","240","688","240","Travis Germain","Travis Germain","","2.35","36.55","NaN","","","-","-","5428 w State ave, Glendale, AZ 85301","Glendale","AZ","85301","No","Lowes","","","41397839","","Lowe's","Free","","Residential","Tier 1 - 8%","","","17526439","(602) 510-6921","bonnieb1955@gmail.com","","","Travis Germain","IME","1st Attempt","","ESTIMATE_APPOINTMENT | APPOINTMENT_SET","ESTIMATE_APPOINTMENT | APPOINTMENT_SET","Thu Jul 16 2026 12:59:32 GMT-0700","","Bonnie Brown","","Bonnie","Brown","","41397839","Garage","","Lowes - Water Heaters","","","","","","","Completed","WH962540
8-12noon
**Customer building a stand**
**Reuse Drip Pan**

Notes and Details (Addon bundles, other details):","Tanner LaForge","Lowes","7/24

Arrived on site to Install a new 50 gallon gas heater. I met with Bonnie who showed me to the unit in the laundry room

There is no tank here so I turned off water and began draining the lines. Replaced both supply lines and ball valve

Set the new stand in place. New pan. New tank. Connected supply lines. Ran new t&p. Put on sediment trap

Filled the heater. Trimmed back the gas vent due to the taller setup we now have. Turned on gas and checked for leaks. 

No issues with this install 60 psi","Lowes,In Warehouse","Default Workflow"
"77866","Sent","Sent","Ryan  Boynton","","Ryan  Boynton - Estimate - Pool Cleaning","#26526 - Pool Cleaning","Pool Cleaning","Ryan  Boynton - Estimate - Pool Cleaning","400","400","400","87.04","312.96","78","0","400","0","400","No","","","","0","","","","0","Jul 24, 2026","Fri Jul 24 2026 10:07:19 GMT-0700","Aug 23, 2026","Fri Jul 24 2026 10:06:58 GMT-0700","Mon Jul 13 2026 16:03:39 GMT-0700","Fri Jul 24 2026 10:06:58 GMT-0700","2026","July 2026","","","","","0","0","0","0","0","50","0","50","Ian Campbell","","","5","15.64","NaN","","","-","-","1105 North Delmar, Mesa, Arizona 85203","Mesa","Arizona","85203","No","AZ Service:Pools","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","17458597","(480) 861-0995","ryboy5@gmail.com","","","","","","","","","Thu Jul 09 2026 08:18:57 GMT-0700","","Ryan  Boynton","","Ryan","Boynton","","","","","Pool Repair","","Ryan","","","","","Completed","first visit pool is turning","Ian Campbell","Pools","CYA is max’d out.
300+.

Needs drain and fill in order to properly service.

Estimate accepted on site, upped price to $400 so I can spend an hour or so to power wash the interior once we’re drained.","Resi","Default Workflow"
"77863","Paid","Paid","Greg Gilliam","","Greg Gilliam - Invoice - Toilet :Lowes Simple Installs","#26986 - Toilet :Lowes Simple Installs","Toilet :Lowes Simple Installs","","92.5","92.5","92.5","11.1","81.4","88","92.5","0","0","92.5","Yes","","","","0","","","","0","Jul 24, 2026","","Aug 23, 2026","","","Fri Jul 24 2026 09:32:12 GMT-0700","2026","July 2026","","","","Add On,Lowes","0","0","0","0","0","11.1","0","11.1","Bryan Pickett","Bryan Pickett","","0","25","NaN","Fri Jul 24 2026 05:00:00 GMT-0700","Fri Jul 24 2026 05:00:00 GMT-0700","-","-","3722 E CONSTACE WAY, PHOENIX, AZ 85042","PHOENIX","AZ","85042","No","","","","","","","","","","","","","17529957","602-793-5364","noemailpmoc@lowes.com","null","","","IMS","","","PLUMB - GENERAL (NO SOFTENERS)","PLUMB - GENERAL (NO SOFTENERS)","Fri Jul 17 2026 08:00:09 GMT-0700","","Greg Gilliam","","Greg","Gilliam","","413376840","","","Lowes - Simple Installs","","","","","","","Completed","Simple installs -1- KOHLER Elliston White Elongated Tall height 12-in Rough-In WaterSense 1.28 GPF Soft Close 2-piece Toilet/ pick up from lowe's

7100 WEST RAY ROAD,
Chandler, AZ 85226
Store: #674
Phone: (480) 753-0103

Delivery Fee: PR32445648","Bryan Pickett","Lowes","Disconnected water supply line, removed old toilet and old wax ring. Installed new waxring and new toilet. Reconnected bidet seat and water supply line and tested by filling tank and flushing through bowl several times while checking for leaks and moisture. No visible water, customer tested and customer satisfied.

Pickup/Delivery charge 
Toilet Install
Bidet Reinstall","Lowes,Pick up from Lowes","Default Workflow"
"77857","Invoiced","Invoiced","Dennis Harris","","Dennis Harris - Estimate - Recall :Lowes Water Heaters","#27030 - Recall :Lowes Water Heaters","Recall :Lowes Water Heaters","Dennis Harris - Estimate - Recall :Lowes Water Heaters","93","93","93","12","81","87","0","93","0","93","No","","","","0","","","","0","Jul 24, 2026","","Aug 7, 2026","","","Fri Jul 24 2026 08:17:22 GMT-0700","2026","July 2026","$92 off to maintain customer relations.","","","Lowes","0","0","0","0","0","12","0","12","Brenton Heward","","","0","0","NaN","","","-","-","6070 South Oyama Drive, Tucson, Arizona 85746","Tucson","Arizona","85746","No","Lowes","","","","","Lowe's","Free","","Residential","Tier 1 - 8%","","","17419927","(707) 975-9148","dennisgroup11@gmail.com","","","Travis Germain","IME","1st Attempt","","ESTIMATE_APPOINTMENT | APPOINTMENT_SET","ESTIMATE_APPOINTMENT | APPOINTMENT_SET","Fri Jul 03 2026 11:59:58 GMT-0700","Lowes","Dennis Harris","","Dennis","Harris","","","","","Lowes - Water Heaters","","","","","","","Completed","-Recall reason: customer isn't getting hot water in his primary bathroom but is getting hot water everywhere else basically. If it isn't the fault of the install or the water heater, we will charge $185. We saved a card on file.


-Original installer? Matt H.","Mathew Hodges","Lowes","Came out to customers house to check if they have hot water they have hot water in the master bedroom and in the kitchen the kitchen you just had to have the handle up and move it out to open up the hot water and it did take a little bit for the hot water to get there, but customer is having hot water and they’re satisfied with everything. I went to every fixture to make sure they have hot water in the house.","Lowes,Warranty","Default Workflow"
